GroupID,Nfof,IterCenRA,IterCenDec,IterCenZ,IterCenUberID,Zfof,Rad50,Rad100,Rad1Sig,VelDisp,VelDispErr,MassProxy,TotFluxProxy,BCGUberID,BCGRA,BCGDec,BCGZ,CenRA,CenDec,TotRmag,MassA,LumB,MassAfunc,LumBfunc,GAMARegion,mymass,log10MassErr,masscorr,zmax,vmax,weightszlimit,ml_excess
205469,8,181.069410449015,1.54627760545898,0.02044,181010545806687,0.020025,0.19813190194000985,0.4080189963656537,0.2419920183242187,411.650880354686,7.0710678118654755,7805936046583.891,3812598855.764632,181010545806687,181.069410449015,1.54627760545898,0.02044,180.95703471855828,1.5047804245713372,-19.281986813159143,78059360465838.9,3965102809.995218,187834611449465.84,7731519129.856803,g12,161104128835273.25,0.24018684,-0.06666895,0.04500361249619643,180898.8017150156,180898.8017150156,1.4514613124631772
205509,5,180.677938196606,1.9521237133283,0.01726,181010961410998,0.01916,0.12180350838933056,0.20733020688345585,0.16378734286288243,482.0222225021108,7.0710678118654755,6579704699079.6045,7704704609.694547,181010961410998,180.677938196606,1.9521237133283,0.01726,180.66302563154383,1.9085610667295554,-20.046628879575643,65797046990796.05,8012892794.082329,181465882316987.84,15530857701.081327,g12,135796346166898.06,0.40325591,-0.1259069,0.03258214410494254,64879.49372250218,64879.49372250218,1.137730482620586
206312,6,184.51431842042703,-0.9130197889751208,0.02104,183990073301808,0.021089999999999998,0.15613691276915886,0.23468261907277055,0.18822009562743477,85.02578644006081,7.0710678118654755,262433568831.50797,3513156470.8516808,183990073301808,184.51431842042703,-0.9130197889751208,0.02104,184.4965996267381,-0.881684607274979,-19.192303712012787,2624335688315.0796,3653682729.685748,6664410016364.867,6888517594.696546,g12,5416279512337.849,0.32696735,-0.09006064,0.03238950814943948,63619.92106467428,63619.92106467428,1.0730707619553264
302576,6,221.984374910854,1.79856737132387,0.03378,222010636409364,0.033839999999999995,0.09652318132280538,0.20869788018024485,0.1556330711848847,224.53837961935582,7.0710678118654755,1131423719508.3315,5516039876.476477,222010636409364,221.984374910854,1.79856737132387,0.03378,221.99323438904307,1.8099857893367326,-19.673706175406917,11314237195083.316,5736681471.535536,28732115341102.76,9056293044.623089,g15,23351079433289.004,0.32696735,-0.09006064,0.043048264906894534,157675.44748773644,157675.44748773644,1.0255640066262743
504788,5,350.14568999040296,-31.9090653991645,0.03506,349681030608209,0.03506,0.13497176729527802,0.26091933585983673,0.22103143462610658,78.31457508706663,7.0710678118654755,192460056775.39145,2798970523.2944403,349681030608209,350.14568999040296,-31.9090653991645,0.03506,350.1675440752312,-31.8563672104201,-18.93615912439752,1924600567753.9146,2910929344.2262177,5307978945986.652,4482092273.30061,g23,3972119371379.666,0.40325591,-0.1259069,0.04742317695827309,212496.26137358765,212496.26137358765,1.154698732028208
