ms,lp,al,be
1.338875999999999955e+01,-2.980333499999999969e+00,-3.722789100000000184e-01,6.852470499999999687e-01
1.336512500000000081e+01,-2.970460000000000100e+00,-3.846083000000000141e-01,6.685365100000000282e-01
1.335472200000000065e+01,-2.978660500000000155e+00,-3.678115699999999766e-01,6.823635300000000514e-01
1.328897800000000018e+01,-2.971758299999999853e+00,-2.544425900000000240e-01,6.712937100000000434e-01
1.319609200000000016e+01,-2.935939199999999971e+00,-1.953742800000000113e-01,6.386070299999999644e-01
1.345779199999999953e+01,-3.008332400000000018e+00,-3.973722800000000221e-01,7.246681799999999951e-01
1.345789199999999930e+01,-3.010312299999999830e+00,-3.937873499999999805e-01,7.223432499999999923e-01
1.334620899999999999e+01,-2.970916400000000124e+00,-3.962486700000000250e-01,6.698582699999999779e-01
1.340002100000000063e+01,-2.977331899999999809e+00,-4.317150200000000049e-01,6.786418100000000120e-01
1.332888400000000040e+01,-2.955414699999999950e+00,-4.184099600000000252e-01,6.480549199999999788e-01
1.329589400000000055e+01,-2.961958500000000161e+00,-2.924964700000000084e-01,6.638609100000000263e-01
1.326426700000000025e+01,-2.943731300000000051e+00,-3.149719999999999742e-01,6.592606899999999825e-01
1.327290400000000048e+01,-2.937164500000000178e+00,-3.055009100000000144e-01,6.544018099999999727e-01
1.329052100000000003e+01,-2.935043199999999963e+00,-3.242554300000000111e-01,6.523512900000000281e-01
1.347276300000000049e+01,-3.032039000000000151e+00,-4.049474200000000024e-01,7.327554400000000356e-01
1.335200599999999937e+01,-2.968769200000000108e+00,-3.751369999999999982e-01,6.649789299999999681e-01
1.343180500000000066e+01,-2.997000799999999909e+00,-3.589078600000000230e-01,7.119760800000000112e-01
1.341840499999999992e+01,-2.997034399999999987e+00,-3.506185299999999838e-01,7.240309400000000117e-01
1.355974299999999921e+01,-3.053750299999999918e+00,-5.445147799999999760e-01,7.558846099999999568e-01
1.356842299999999923e+01,-3.053073100000000206e+00,-5.342987000000000153e-01,7.582915599999999756e-01
1.359000699999999995e+01,-3.086028100000000052e+00,-5.261867300000000469e-01,7.543577399999999988e-01
1.354930799999999991e+01,-3.063425500000000135e+00,-5.570493899999999776e-01,7.587945400000000173e-01
1.357374500000000062e+01,-3.045539199999999891e+00,-5.536209500000000006e-01,7.613552599999999781e-01
1.353001500000000057e+01,-3.046951599999999871e+00,-5.290384900000000279e-01,7.589914899999999909e-01
1.339701600000000070e+01,-3.002304999999999779e+00,-2.968642599999999909e-01,7.108550799999999725e-01
1.341105800000000059e+01,-3.002634099999999862e+00,-2.575786600000000148e-01,7.382874200000000275e-01
1.343197999999999936e+01,-3.005157300000000031e+00,-3.180352499999999916e-01,7.372801900000000019e-01
1.344397299999999973e+01,-3.002423999999999982e+00,-3.184619799999999779e-01,7.347514000000000545e-01
1.326684700000000028e+01,-2.928924299999999814e+00,-3.738285599999999764e-01,6.283274899999999885e-01
1.325916100000000064e+01,-2.956099399999999822e+00,-3.283862100000000117e-01,6.362254699999999596e-01
1.329223600000000083e+01,-2.953386200000000184e+00,-3.172001199999999743e-01,6.482806599999999531e-01
1.328870200000000068e+01,-2.954690799999999840e+00,-3.144744500000000165e-01,6.518661100000000541e-01
1.344395699999999927e+01,-3.004077500000000178e+00,-4.573935599999999768e-01,7.103494000000000197e-01
1.336145400000000016e+01,-2.982967599999999830e+00,-3.101374299999999917e-01,6.930274100000000104e-01
1.348716699999999946e+01,-3.028006099999999812e+00,-4.517995899999999732e-01,7.366615899999999773e-01
1.326650700000000072e+01,-2.950773400000000102e+00,-2.961133899999999763e-01,6.478905200000000253e-01
1.313386400000000087e+01,-2.953739199999999787e+00,-1.124688799999999933e-01,6.308171900000000276e-01
1.312874700000000061e+01,-2.947422800000000009e+00,-1.096154099999999965e-01,6.313441199999999531e-01
1.314845399999999920e+01,-2.930073699999999892e+00,-1.448828899999999864e-01,6.363653000000000226e-01
1.313619899999999951e+01,-2.932030899999999995e+00,-1.675728800000000074e-01,6.265415600000000529e-01
1.314887200000000078e+01,-2.936255699999999802e+00,-1.949509399999999892e-01,6.117894200000000282e-01
1.351835799999999921e+01,-3.023137999999999881e+00,-5.265862900000000124e-01,7.328621499999999900e-01
1.351477000000000039e+01,-3.023464000000000151e+00,-5.237598100000000478e-01,7.363200100000000248e-01
1.340251100000000051e+01,-3.014798600000000217e+00,-3.046461500000000044e-01,7.084858899999999515e-01
1.338512599999999964e+01,-3.017670499999999922e+00,-3.243523999999999852e-01,7.050041799999999803e-01
1.338741599999999998e+01,-3.018407999999999980e+00,-3.197421400000000080e-01,7.042795499999999764e-01
1.339642699999999920e+01,-3.006331900000000168e+00,-3.029633700000000096e-01,7.053971100000000494e-01
1.339455399999999941e+01,-2.999798499999999812e+00,-2.934284400000000126e-01,7.339632699999999454e-01
1.342870600000000003e+01,-3.005706099999999825e+00,-3.285686400000000229e-01,7.349344799999999456e-01
1.342765299999999939e+01,-3.016794299999999929e+00,-3.266712500000000241e-01,7.272960899999999507e-01
1.345738000000000056e+01,-3.001491600000000037e+00,-4.484086800000000039e-01,7.113350499999999688e-01
1.316431000000000040e+01,-2.934495000000000076e+00,-2.363651599999999908e-01,6.189950800000000308e-01
1.286564300000000038e+01,-2.923147099999999998e+00,-1.027025399999999949e-01,5.332853899999999703e-01
1.312977399999999939e+01,-2.933844300000000072e+00,-1.644737900000000086e-01,6.236722199999999994e-01
1.317652700000000010e+01,-2.945907399999999843e+00,-2.167029299999999881e-01,6.112407499999999994e-01
1.316974399999999967e+01,-2.903405100000000072e+00,-2.242706100000000091e-01,6.217177999999999871e-01
1.317366200000000021e+01,-2.909915900000000111e+00,-2.188078800000000101e-01,6.206587900000000158e-01
1.312973200000000062e+01,-2.915364299999999798e+00,-2.152234299999999934e-01,6.182035000000000169e-01
1.314317899999999995e+01,-2.915713900000000081e+00,-2.161679300000000081e-01,6.092297300000000249e-01
1.314888999999999974e+01,-2.927070800000000084e+00,-2.480095700000000125e-01,6.094381800000000515e-01
1.340741799999999984e+01,-2.994709700000000030e+00,-3.769741300000000184e-01,6.958153299999999541e-01
1.344420500000000018e+01,-3.007862300000000211e+00,-4.146635399999999971e-01,7.092462899999999459e-01
1.346031900000000014e+01,-3.014011399999999785e+00,-3.797252199999999744e-01,7.304684299999999464e-01
1.346151500000000034e+01,-3.014868900000000185e+00,-4.168176000000000103e-01,7.276344900000000226e-01
1.327061100000000060e+01,-2.948312299999999997e+00,-2.990245799999999843e-01,6.496083400000000063e-01
1.328617500000000007e+01,-2.936361499999999847e+00,-3.116511499999999879e-01,6.631499199999999483e-01
1.328969000000000023e+01,-2.959633000000000180e+00,-3.001268200000000164e-01,6.556072299999999853e-01
1.331589499999999937e+01,-2.956048299999999962e+00,-3.139007500000000062e-01,6.732803600000000221e-01
1.334620400000000018e+01,-2.966272899999999879e+00,-3.458298799999999784e-01,6.714263599999999999e-01
1.334520000000000017e+01,-2.966328700000000040e+00,-3.473454799999999842e-01,6.702841800000000072e-01
1.333990000000000009e+01,-2.956465000000000121e+00,-3.524862999999999746e-01,6.777523399999999532e-01
1.335044500000000056e+01,-2.973161300000000118e+00,-4.214172999999999947e-01,6.499686700000000261e-01
1.334459000000000017e+01,-2.972787999999999986e+00,-4.175437300000000018e-01,6.565023300000000228e-01
1.343442800000000048e+01,-2.993101199999999906e+00,-4.233007999999999771e-01,7.165351100000000306e-01
1.343701199999999929e+01,-3.022601600000000222e+00,-3.460418000000000105e-01,7.305074099999999682e-01
1.359465800000000080e+01,-3.070829699999999995e+00,-5.463272099999999520e-01,7.754966699999999991e-01
1.356856299999999926e+01,-3.079487600000000214e+00,-5.717616500000000102e-01,7.738508200000000503e-01
1.351215299999999964e+01,-3.041436599999999935e+00,-4.802101200000000181e-01,7.655486900000000317e-01
1.353520100000000070e+01,-3.064705299999999966e+00,-4.540445200000000070e-01,7.574360500000000274e-01
1.352413699999999963e+01,-3.042189299999999985e+00,-4.769128400000000045e-01,7.708809199999999695e-01
1.353830600000000040e+01,-3.039773499999999906e+00,-4.870139399999999785e-01,7.651614700000000102e-01
1.356765799999999977e+01,-3.082979499999999984e+00,-4.978143999999999902e-01,7.730742600000000131e-01
1.358285500000000035e+01,-3.068516699999999986e+00,-5.317821200000000248e-01,7.793356599999999856e-01
1.357758699999999941e+01,-3.081480200000000114e+00,-5.250691400000000453e-01,7.681125100000000261e-01
1.332844099999999976e+01,-2.969502499999999934e+00,-3.002452600000000138e-01,6.835721599999999842e-01
1.340655800000000042e+01,-2.998147499999999965e+00,-4.252863900000000141e-01,6.919912400000000074e-01
1.342251199999999933e+01,-3.003502500000000186e+00,-3.963413399999999864e-01,7.003441200000000144e-01
1.341806000000000054e+01,-2.993543600000000193e+00,-4.096949899999999811e-01,7.043325400000000069e-01
1.336803199999999947e+01,-2.983373400000000064e+00,-3.569981500000000141e-01,6.823449299999999607e-01
1.339374199999999959e+01,-2.991751499999999897e+00,-3.412724400000000102e-01,7.214229699999999967e-01
1.344757000000000069e+01,-3.018968099999999932e+00,-3.161970900000000140e-01,7.441524699999999548e-01
1.334744700000000073e+01,-2.970111100000000004e+00,-3.724826299999999812e-01,6.756638400000000155e-01
1.336689200000000000e+01,-2.970186700000000180e+00,-3.499997400000000036e-01,6.997932199999999936e-01
1.332103399999999915e+01,-2.961348200000000208e+00,-3.389892299999999747e-01,6.640507700000000124e-01
1.327935000000000088e+01,-2.944439399999999818e+00,-3.408928800000000092e-01,6.376617599999999664e-01
1.350262200000000057e+01,-3.044872300000000198e+00,-4.078536799999999962e-01,7.646217800000000286e-01
1.353915800000000047e+01,-3.050806899999999988e+00,-4.765619700000000014e-01,7.553191099999999603e-01
1.351022799999999968e+01,-3.048023099999999985e+00,-4.832763600000000159e-01,7.334089099999999695e-01
1.340637800000000013e+01,-2.988863799999999848e+00,-4.432968299999999751e-01,6.785402400000000167e-01
1.326670400000000072e+01,-2.968483299999999936e+00,-2.483455499999999982e-01,6.616565800000000497e-01
1.329387700000000017e+01,-2.961521299999999801e+00,-2.457479800000000048e-01,6.787949500000000080e-01
1.327992799999999995e+01,-2.959970300000000165e+00,-2.612115899999999935e-01,6.767110499999999806e-01
1.331972999999999985e+01,-2.965277299999999894e+00,-2.588376800000000144e-01,7.062861099999999670e-01
1.326760999999999946e+01,-2.974876500000000146e+00,-2.344684599999999897e-01,6.655815600000000165e-01
1.320331700000000019e+01,-2.943342200000000020e+00,-3.417095800000000128e-01,6.045527299999999826e-01
1.328159800000000068e+01,-2.923588699999999818e+00,-3.586344499999999935e-01,6.595876999999999990e-01
1.332382899999999992e+01,-2.989967599999999948e+00,-3.785980099999999848e-01,6.431223200000000251e-01
1.332719999999999949e+01,-2.988582399999999861e+00,-3.766094999999999859e-01,6.455556700000000259e-01
1.333666200000000046e+01,-2.975403099999999856e+00,-3.829088600000000175e-01,6.509685299999999897e-01
1.349655300000000047e+01,-3.039625599999999928e+00,-4.246445899999999884e-01,7.586700800000000244e-01
1.352906100000000045e+01,-3.050789599999999879e+00,-3.603280600000000056e-01,8.050377499999999964e-01
1.351541800000000038e+01,-3.042313399999999834e+00,-3.826459999999999861e-01,7.926865100000000108e-01
1.325024999999999942e+01,-2.964270799999999983e+00,-2.251876999999999907e-01,6.616965500000000500e-01
1.331616099999999925e+01,-2.976337500000000080e+00,-1.753029399999999904e-01,7.051564799999999744e-01
1.330076500000000017e+01,-2.983289899999999939e+00,-1.747328999999999966e-01,7.109244099999999511e-01
1.330770000000000053e+01,-2.960637300000000138e+00,-2.730860900000000036e-01,6.782796399999999615e-01
1.345617099999999944e+01,-3.002686699999999931e+00,-4.352954900000000071e-01,7.271066499999999655e-01
1.343752300000000055e+01,-2.998889199999999811e+00,-4.419098599999999877e-01,7.171570699999999521e-01
1.348444800000000043e+01,-3.030495800000000184e+00,-4.029018300000000163e-01,7.331127800000000194e-01
1.331271100000000018e+01,-2.955430600000000130e+00,-2.956739199999999790e-01,6.767237799999999970e-01
1.330408000000000079e+01,-2.950408599999999826e+00,-2.880736700000000039e-01,6.715451300000000456e-01
1.346913799999999917e+01,-3.012561100000000103e+00,-4.383584899999999895e-01,7.132152499999999673e-01
1.345742199999999933e+01,-3.017378100000000174e+00,-4.392376499999999795e-01,7.160997999999999530e-01
1.344978099999999976e+01,-3.000126299999999802e+00,-4.876164599999999738e-01,7.023673000000000277e-01
1.345228999999999964e+01,-3.004599999999999937e+00,-4.575099300000000091e-01,7.015323199999999870e-01
1.343964899999999929e+01,-3.003737899999999961e+00,-4.526997700000000013e-01,7.083536499999999458e-01
1.346522500000000022e+01,-3.007290499999999867e+00,-4.315095299999999745e-01,7.216622799999999893e-01
1.342430899999999916e+01,-3.000670599999999855e+00,-4.503785399999999939e-01,6.941219899999999665e-01
1.333642000000000039e+01,-2.966076999999999853e+00,-3.258559100000000264e-01,6.756226899999999702e-01
1.333517299999999928e+01,-2.970874699999999979e+00,-3.439289400000000163e-01,6.659872000000000014e-01
1.332217499999999966e+01,-2.969757200000000097e+00,-2.733347799999999994e-01,6.877422499999999994e-01
1.331983800000000073e+01,-2.965694899999999912e+00,-2.915949899999999984e-01,6.801000799999999957e-01
1.328950099999999956e+01,-2.958696999999999910e+00,-2.943379899999999938e-01,6.608821400000000068e-01
1.332605299999999993e+01,-2.962617299999999787e+00,-3.148371300000000206e-01,6.799820800000000443e-01
1.341361000000000026e+01,-3.019470899999999958e+00,-2.730555599999999750e-01,7.438531299999999735e-01
1.342619200000000035e+01,-3.026525900000000213e+00,-2.714356299999999833e-01,7.412059800000000420e-01
1.340581700000000076e+01,-3.032705899999999843e+00,-2.680039699999999803e-01,7.519769499999999773e-01
1.324143399999999993e+01,-2.943395999999999901e+00,-3.698654800000000242e-01,6.342037000000000369e-01
1.326709800000000072e+01,-2.937453200000000209e+00,-3.596798700000000126e-01,6.247673000000000254e-01
1.324718599999999924e+01,-2.929504000000000108e+00,-3.649900899999999893e-01,6.266409299999999849e-01
1.327779699999999963e+01,-2.941642600000000218e+00,-3.456417700000000148e-01,6.353303599999999829e-01
1.323744300000000074e+01,-2.935724200000000117e+00,-2.820727199999999990e-01,6.258312900000000401e-01
1.327250500000000066e+01,-2.972007300000000019e+00,-2.368348500000000134e-01,6.468485999999999958e-01
1.326840299999999928e+01,-2.947595100000000023e+00,-2.627920300000000098e-01,6.597582600000000408e-01
1.321670100000000048e+01,-2.924719300000000022e+00,-2.935823499999999919e-01,6.252732500000000027e-01
1.326069599999999937e+01,-2.951674500000000201e+00,-2.445430299999999946e-01,6.654538399999999632e-01
1.313818900000000056e+01,-2.928192099999999964e+00,-2.819202900000000178e-01,5.900994899999999488e-01
1.313789500000000032e+01,-2.915416099999999844e+00,-3.077383000000000202e-01,5.842728799999999945e-01
1.315236200000000011e+01,-2.959591800000000106e+00,-1.671064399999999950e-01,6.198591300000000359e-01
1.308988500000000066e+01,-2.875075199999999942e+00,-3.175361700000000065e-01,5.754106700000000130e-01
1.309436799999999934e+01,-2.893574000000000090e+00,-3.048705600000000127e-01,5.775150399999999795e-01
1.312121699999999969e+01,-2.884162700000000079e+00,-3.899851699999999921e-01,5.684605299999999639e-01
1.312186699999999995e+01,-2.897893199999999947e+00,-3.555752699999999988e-01,5.638100600000000018e-01
1.319627499999999998e+01,-2.968212400000000084e+00,-2.051192799999999872e-01,6.270624099999999590e-01
1.315625099999999925e+01,-2.943138600000000160e+00,-1.691642999999999897e-01,6.279945000000000110e-01
1.317946399999999940e+01,-2.941970799999999997e+00,-2.359312899999999880e-01,6.192989800000000544e-01
1.317560800000000043e+01,-2.931345700000000054e+00,-2.439979399999999965e-01,6.175207799999999914e-01
1.317969599999999986e+01,-2.938052900000000189e+00,-2.615074299999999852e-01,6.129018600000000205e-01
1.353277800000000042e+01,-3.047664500000000221e+00,-4.663290900000000017e-01,7.684899400000000380e-01
1.343637799999999949e+01,-3.004260100000000211e+00,-3.833827799999999786e-01,7.236350000000000282e-01
1.341343400000000052e+01,-3.000453100000000095e+00,-3.576595799999999770e-01,6.918910600000000022e-01
1.338426199999999966e+01,-2.974775600000000075e+00,-3.684332200000000057e-01,6.775206299999999571e-01
1.338095399999999913e+01,-2.975041200000000163e+00,-3.693527500000000074e-01,6.792041500000000065e-01
1.335432800000000064e+01,-2.971804699999999855e+00,-4.136591900000000099e-01,6.726550300000000426e-01
1.334021899999999938e+01,-2.958633100000000127e+00,-3.769477600000000206e-01,6.727627099999999860e-01
1.333926699999999954e+01,-2.940838400000000075e+00,-3.638873300000000088e-01,6.754023999999999583e-01
1.332521799999999956e+01,-2.938868100000000094e+00,-3.768853099999999734e-01,6.707050199999999851e-01
1.340183399999999914e+01,-2.987383700000000086e+00,-3.931988599999999834e-01,7.088691499999999479e-01
