N,ntracks,q16,q50,q84,sigma_log10M
48,154,-0.068423222718258,-0.010554650845128855,0.03463615439322506,0.051529688555741526
49,151,-0.06475783728529194,-0.007343107109605285,0.029543483546481397,0.04715066041588667
50,144,-0.0563352618985227,-0.007578971638595,0.03321232513622895,0.04477379351737583
51,136,-0.05542812063679001,-0.006004498277107473,0.030572112215262223,0.043000116426026115
52,130,-0.0555688641715534,0.0,0.029419664732699215,0.042494264452126305
53,122,-0.06666079223080175,-0.004449955004523609,0.031118971693227592,0.04888988196201467
54,118,-0.0590797606691816,-0.004679953724577857,0.026393560217887923,0.04273666044353476
55,115,-0.05534884719851206,-0.005678119628534262,0.022532309992092627,0.038940578595302346
56,110,-0.05325813111622651,-0.00864811416951028,0.022673975226951207,0.037966053171588854
57,106,-0.057957556790726984,-0.006562290701514151,0.024253474194749814,0.0411055154927384
58,101,-0.06131368924705072,-0.00022593887381994193,0.025701552408136763,0.04350762082759374
59,98,-0.04920519418662749,-0.004508395537519583,0.027066487326104255,0.03813584075636588
60,90,-0.044028615709043706,-0.0010364504055164758,0.02726469586967887,0.035646655789361284
61,85,-0.05021439114374601,-0.006135709096945163,0.02740654571819896,0.03881046843097249
62,83,-0.042847654440312154,-0.0008567863905195594,0.02705102623597879,0.03494934033814547
63,83,-0.045198049079793634,-0.0020838927574704513,0.0323939055936642,0.03879597733672892
64,79,-0.04423453873851045,0.0,0.028492077884349435,0.03636330831142994
65,77,-0.0499408471058684,0.0010567498499156613,0.026352760923983417,0.03814680401492591
66,76,-0.054156507830043665,-0.002761358846162132,0.028368538876074822,0.041262523353059244
67,75,-0.04778552301837657,-0.005697587032059914,0.024426860282212384,0.036106191650294474
68,74,-0.04411623058618325,-0.005654575978516263,0.022974509239991222,0.033545369913087236
69,70,-0.04407864733057892,-0.008983201934865903,0.02290969159221227,0.03349416946139559
70,69,-0.04563301636862484,-0.007101967476806692,0.018209350911328023,0.03192118363997643
71,68,-0.045565919101986194,-0.006173626839982127,0.017345526780701805,0.031455722941344
72,67,-0.04202072853436355,-0.006154377718855741,0.013258012195923142,0.027639370365143343
73,62,-0.036563419694578554,-0.004773426096437383,0.013051645362199833,0.024807532528389194
74,59,-0.04485430882432205,-0.007238940636076663,0.01461902496851799,0.02973666689642002
75,57,-0.04768984203165203,-0.00561344322665569,0.01404192073963081,0.03086588138564142
76,56,-0.05274769056657255,-0.006466349789929993,0.01729296629932227,0.03502032843294741
77,54,-0.047340390321682975,-0.007065073376656628,0.021710938959478964,0.03452566464058097
78,52,-0.04749066007869509,-0.007361619226963434,0.020858417496170803,0.03417453878743294
79,50,-0.03883532213846415,-0.010911453759210765,0.019858495133910085,0.029346908636187115
80,47,-0.03436940180426788,-0.010256416076012798,0.01822133663001118,0.02629536921713953
81,46,-0.032431224123570246,-0.007096664275297648,0.021731995196937238,0.02708160966025374
82,45,-0.03909746617785359,-0.0066751538733917926,0.024373904706348034,0.031735685442100814
83,45,-0.04061183580431923,-0.007058631989290021,0.02131569611938709,0.030963765961853157
84,43,-0.03557977969471253,-0.004811032355473088,0.0218749267372138,0.028727353215963165
85,41,-0.04326147664177746,-0.004099136494106759,0.017302394613655292,0.030281935627716375
86,41,-0.04785002058759282,-0.004008047129953951,0.01399770775325209,0.030923864170422456
87,40,-0.04426141949948992,-0.0035780505060039047,0.015718586009839854,0.029990002754664888
88,40,-0.031085775467213566,-0.0005224742650957737,0.014174259498215196,0.02263001748271438
89,38,-0.0282148793227438,-0.0031275049954304635,0.014508337595984811,0.021361608459364304
90,36,-0.03495191253743818,-0.004143720281264862,0.01269861564310161,0.023825264090269895
91,34,-0.03464398169213353,-0.0020975241431662184,0.01369358314681548,0.024168782419474504
92,33,-0.02597928116447143,-0.0051699824263167216,0.015904516597326147,0.02094189888089879
93,33,-0.026943573094891773,-0.006228059054672386,0.01670681871193004,0.021825195903410907
94,33,-0.029618389614628527,-0.002847244500273405,0.01487957870873771,0.022248984161683118
95,32,-0.030713404532881797,-0.008505403187919036,0.016740234109937326,0.023726819321409562
96,32,-0.03651946049472123,-0.0044292211835266215,0.015809999680000287,0.02616473008736076
97,32,-0.037633223648825764,-0.00561434451662457,0.013544650548125219,0.02558893709847549
98,31,-0.03943913779315693,-0.0038736302880959528,0.010207494102409242,0.024823315947783087
99,30,-0.03926684647269006,-0.0052489614807162965,0.01674852363887652,0.028007685055783292
100,30,-0.03725772114327299,-0.007058768803733351,0.02001612403293869,0.02863692258810584
101,29,-0.03206878701496315,-0.0021953153718357044,0.020446322828504643,0.026257554921733896
102,29,-0.0260425833304307,-0.0006775366686664341,0.0156493441638009,0.020845963747115802
103,27,-0.02878513075946195,-0.002037122641539213,0.013565455725487893,0.02117529324247492
104,27,-0.024868398475905877,-0.0026382350219797956,0.018345366747054257,0.02160688261148007
105,26,-0.03023481463871036,-0.005407585026478756,0.015475528205692868,0.022855171422201614
106,26,-0.02885761078687743,-0.000905375526839336,0.01933496625941622,0.024096288523146825
107,25,-0.029378387787182304,-0.002558169536614585,0.017952711883869273,0.02366554983552579
108,24,-0.026178592710271998,-0.00031744428272073577,0.0208236135044956,0.0235011031073838
109,22,-0.027615857970085003,-0.003564531014223604,0.032617095880609466,0.030116476925347233
110,21,-0.029310822282875647,-0.005898431918694769,0.0315328678917073,0.030421845087291472
111,21,-0.02454603841858898,-0.001437871252829126,0.027062683339405084,0.025804360878997033
112,19,-0.023945879457919688,0.0011634313649402372,0.028208010884238903,0.026076945171079294
113,19,-0.028317682803243045,0.0036017836787021196,0.03921046729481567,0.033764075049029355
114,19,-0.023189972159624476,0.0007479940995587242,0.037555626832671794,0.030372799496148135
115,17,-0.02631357274903209,0.0,0.03340312703059155,0.02985834988981182
116,15,-0.02655213807124106,-0.0029779111047520956,0.02990923757606872,0.02823068782365489
117,15,-0.020137203256254423,-0.0034582284246127415,0.026169489229573913,0.023153346242914166
118,15,-0.015892664897318835,0.003627565392140042,0.02359612846950121,0.01974439668341002
119,15,-0.00656004361261104,0.0008620559508258907,0.026329418728676116,0.01644473117064358
120,14,-0.009565153224239752,0.005265829674323541,0.03368119751529619,0.02162317536976797
121,14,-0.01456023421190764,0.005872885554791374,0.03240416980252775,0.023482202007217696
122,13,-0.01061794668167302,0.01018950531626217,0.029353582330626227,0.019985764506149625
123,13,-0.015315573396838787,0.004342756138939308,0.024013205611159594,0.01966438950399919
124,13,-0.017163267076750727,0.010629566048457662,0.018751760908846223,0.017957513992798477
125,13,-0.015735730379554128,0.008519150585984292,0.01980572343620061,0.01777072690787737
126,13,-0.013374200457489636,0.009014581515200959,0.01985666680854266,0.016615433633016145
127,13,-0.011887007777661085,0.008198546053801437,0.02023618212450451,0.016061594951082798
128,13,-0.0108766930743775,0.00628118548020673,0.02636114637377311,0.018618919724075304
129,13,-0.015874849527607822,0.002320457342440463,0.026954761237833153,0.02141480538272049
130,13,-0.017758163316550297,0.007624198270777427,0.023695544162509494,0.020726853739529896
131,13,-0.0150178252328611,0.0062241354322996045,0.027190323755154892,0.021104074494007995
132,13,-0.01922825963304497,0.006052834193658541,0.026639802324957457,0.022934030979001215
133,13,-0.015542746924848246,0.005784091935968405,0.026356555063722312,0.02094965099428528
134,13,-0.01640285199181939,0.005625268557629681,0.021855156045986705,0.019129004018903047
135,13,-0.021178773404830622,0.0026045050495024924,0.02084953432250117,0.021014153863665896
136,13,-0.036020568116638,0.0006810508515950886,0.0174341812074416,0.0267273746620398
137,13,-0.02020287313426373,0.0008789344055220027,0.021218310647653314,0.020710591890958523
138,12,-0.022490856669006406,0.002646595424397269,0.02338129840847508,0.022936077538740742
139,12,-0.0206600608911085,0.0005424474856550177,0.022067272200878705,0.0213636665459936
140,12,-0.018088993246262175,-0.0008032879118626823,0.020030445995842003,0.019059719621052088
141,12,-0.019987452318455043,-0.0017662879276336696,0.01672282838375246,0.01835514035110375
