N,s_gap,s_gap0,s_rms,sky,s_tempel,m_gap,m_rms
8,574.7467389637304,574.7902347373714,515.6422971199188,0.7256461192407302,515.771073,446701885306867.4,360218638212712.75
12,695.4228576582519,695.4588060795329,643.3788719210842,0.6757697781302823,642.82236,607499519647242.2,520608308671472.2
6,612.121739250085,612.1625794366633,508.2632402260672,0.7921521277210305,508.123753,552155246679457.06,381867077426167.9
6,439.0447829033603,439.1017210108141,388.1803178252445,0.1989519316893037,516.712181,72604328544565.78,56879041850196.24
15,317.46053747598364,317.5392776563876,314.04024972982506,0.31964693291550467,313.720083,61081922426234.62,59784212756842.85
5,356.8692081807253,356.9392549826061,300.2045423198146,0.3725443532209126,300.244287,89654963664900.14,63638109430763.9
9,606.8412499089172,606.8824454464118,540.6504658275315,0.45578079999862936,540.182303,313736262050333.9,249494662137092.16
8,978.5212563300886,978.5468047517272,874.755846211097,0.3021670313399712,874.242069,538333678193117.25,431016978755829.7
27,517.763671317433,517.8119536435083,496.71953434676595,0.5881861716669688,496.324824,294887674904089.6,271586554554097.84
22,518.8579644675076,518.9061449736025,511.46099783336126,0.6087494168245368,511.165564,306392557828813.75,297788203615816.3
17,380.30648505006957,380.37221582436695,358.29872017531176,0.3965399350060163,357.93681,108193012980598.42,96135429161944.58
7,330.51442763271166,330.5900586426927,291.02394134089445,0.37703288928454204,290.845653,77926270689349.48,60552607125862.375
5,220.94513317334804,221.0582544782902,192.40234211562492,0.2418638997222183,192.131272,22584243655422.85,17166564712141.33
13,474.38363417999176,474.43633121612453,456.2376486022333,0.5009641012840421,455.835093,211409884895057.28,195672119876534.12
26,708.3627251517916,708.398016925847,674.8491661821816,0.5782882890013314,674.245859,539895622362985.3,490397656889466.94
12,481.4463430915387,481.49826715806114,446.6982333929194,0.48398202852802946,446.330321,210378634515073.72,181340031212900.7
5,235.85005797758961,235.95603371821707,194.67865194944022,0.05071994711695138,194.472234,5463188680586.721,3734529187487.9355
7,240.18594514453838,240.29000862494303,219.38514144518493,0.34063564343911573,219.38985,37422302709798.65,31270682598495.02
6,933.9962467384887,934.0230130578068,804.0776159187657,0.3676851343333362,803.945146,596319943855952.4,443039748531501.56
5,1101.4036627729497,1101.4263608474555,901.7808268139969,0.38895288498623126,901.42874,875221356265534.2,588111349542411.4
9,489.3950817438259,489.4461625501277,441.23729208962766,0.5205437373351622,441.009116,233604867021987.44,190218053866061.06
7,435.83722184240816,435.8945789331504,384.91053580674856,0.3632948117421037,384.830265,129968182490025.69,101594291274001.83
6,497.06663249235686,497.11692501592796,430.42678617462377,0.2237854258510636,430.278617,104339190725987.69,78438433456643.8
7,612.9134159352069,612.9542033735995,535.4442135807948,0.49692917237846496,534.941689,348625487799102.8,266660631701306.34
24,307.2466399193935,307.32799700280714,305.047742737062,0.4858575889609676,304.686624,86694662264778.88,85469112273063.69
6,1011.2843211447171,1011.3090418824165,883.5797243317229,0.3706037859231971,883.402286,703721272652524.8,538350562061684.5
7,235.9863309007295,236.09224547195234,202.18511504285914,0.19989503837897582,202.021722,21304042539945.39,15679335267379.275
9,1316.558539373036,1316.5775281372769,1162.6326629462208,0.3277118310047426,1162.151393,1053659641443583.5,821684390059360.1
